,Track Name,Artist Name,Album Name,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Insturmentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
0,Hawthorn,Ishara,Hawthorn,45,0.209,0.0236,3,-25.44,1,0.0398,0.992,0.971,0.111,0.0862,68.913,153913,4
1,The Seed - Edit,Tony Allen,Tomorrow Comes The Harvest,26,0.791,0.782,10,-11.954,0,0.0865,0.00129,0.901,0.0783,0.723,111.462,240422,4
2,Lady Marian (2003 - Remaster),Clannad,Legend (2003 - Remaster),39,0.265,0.0227,0,-22.602,1,0.0425,0.978,0.825,0.0807,0.143,113.776,201867,3
3,Empires Lost to Time,Dark Tranquillity,Moment,12,0.455,0.989,7,-6.0,1,0.0682,0.000235,0.0534,0.0849,0.343,94.989,249971,4
4,Digane - Raphael Afro Vibe Remix Extended,Bob Sinclar,Digane (Raphael Afro Vibe Remix),32,0.762,0.931,2,-5.143,1,0.0436,0.0139,0.518,0.0627,0.386,123.994,300121,4
5,How He Works (feat. Nico Vega) - Coflo Remix,Louie Vega,How He Works (feat. Nico Vega) [Remixes],24,0.804,0.933,4,-8.405,0,0.0561,0.00381,0.894,0.109,0.255,126.003,314115,4
6,Dia Perfeito,Natiruts,Good Vibration - Vol. 1,44,0.784,0.53,11,-7.594,0,0.0397,0.44,0.0,0.308,0.853,117.007,215194,4
7,A State of Trance (ASOT 1183) - New Scoops!,Armin van Buuren,ASOT 1183 - A State of Trance Episode 1183 - Including Live at Tomorrowland 2021 - Around The World,34,0.554,0.866,6,-6.17,0,0.241,0.0133,0.0,0.38,0.811,137.863,41020,4
8,Flame In My Heart,George Jones,Singing What's In Our Hearts,6,0.587,0.437,9,-7.098,1,0.026,0.638,0.0,0.104,0.56,85.17,149933,3
9,Cabin By The Sea - Live,Dirty Heads,Home | Phantoms of Summer: The Acoustic Sessions,27,0.647,0.453,11,-8.891,1,0.0517,0.809,1.77e-06,0.11,0.842,163.696,226772,4
10,Laugh Track (feat. Phoebe Bridgers),The National,Laugh Track,48,0.658,0.564,5,-9.422,1,0.0441,0.66,0.155,0.0636,0.597,146.029,264120,4
11,Let The Good Times Roll,Quincy Jones,Q's Jook Joint,37,0.611,0.704,2,-6.477,0,0.115,0.315,0.0,0.385,0.771,106.749,175733,4
